iter	Passed	Remaining
569	21253	45863
570	21292	45828
571	21329	45791
572	21366	45753
573	21406	45722
574	21443	45682
575	21478	45641
576	21519	45613
577	21561	45584
578	21600	45550
579	21638	45516
580	21675	45478
581	21713	45442
582	21749	45401
583	21787	45365
584	21831	45341
585	21869	45307
586	21907	45269
587	21945	45233
588	21982	45196
589	22021	45161
590	22058	45125
591	22094	45085
592	22134	45052
593	22170	45013
594	22208	44976
595	22247	44943
596	22283	44902
597	22323	44871
598	22362	44836
599	22394	44789
600	22434	44757
601	22471	44719
602	22508	44681
603	22547	44647
604	22583	44607
605	22622	44572
606	22661	44538
607	22696	44496
608	22734	44460
609	22770	44420
610	22807	44383
611	22848	44352
612	22886	44317
613	22925	44283
614	22963	44246
615	22997	44203
616	23037	44170
617	23079	44141
618	23116	44104
619	23156	44072
620	23196	44039
621	23233	44002
622	23271	43965
623	23305	43922
624	23347	43893
625	23386	43858
626	23421	43817
627	23453	43770
628	23489	43730
629	23526	43692
630	23562	43651
631	23600	43616
632	23636	43577
633	23675	43541
634	23713	43505
635	23749	43465
636	23788	43430
637	23838	43416
638	23882	43391
639	23921	43356
640	23961	43324
641	23999	43288
642	24035	43249
643	24072	43210
644	24109	43172
645	24145	43133
646	24184	43098
647	24224	43066
648	24261	43026
649	24298	42989
650	24335	42951
651	24373	42914
652	24410	42877
653	24446	42836
654	24479	42792
655	24518	42758
656	24555	42719
657	24592	42680
658	24629	42643
659	24666	42605
660	24703	42567
661	24747	42541
662	24792	42517
663	24832	42484
664	24867	42443
665	24905	42406
666	24943	42369
667	24983	42337
668	25020	42299
669	25058	42263
670	25094	42223
671	25133	42187
672	25173	42155
673	25211	42119
674	25250	42083
675	25285	42043
676	25326	42010
677	25368	41981
678	25408	41947
679	25448	41915
680	25488	41881
681	25523	41840
682	25566	41811
683	25600	41769
684	25636	41728
685	25672	41689
686	25707	41648
687	25745	41611
688	25789	41585
689	25827	41548
690	25860	41503
691	25903	41474
692	25943	41441
693	25983	41408
694	26019	41368
695	26057	41331
696	26096	41297
697	26130	41254
698	26167	41215
699	26205	41179
700	26240	41138
701	26279	41103
702	26315	41064
703	26351	41024
704	26388	40987
705	26428	40953
706	26469	40920
707	26508	40885
708	26547	40850
709	26580	40806
710	26620	40772
711	26655	40732
712	26692	40693
713	26728	40654
714	26771	40624
715	26810	40589
716	26851	40558
717	26888	40520
718	26932	40492
719	26969	40454
720	27008	40418
721	27046	40382
722	27084	40345
723	27120	40306
724	27159	40270
725	27198	40236
726	27239	40202
727	27276	40165
728	27316	40131
729	27358	40101
730	27395	40061
731	27433	40026
732	27470	39988
733	27508	39951
734	27547	39915
735	27585	39878
736	27621	39838
737	27659	39802
738	27697	39766
739	27734	39728
740	27772	39690
741	27810	39654
742	27850	39620
743	27884	39578
744	27920	39537
745	27961	39505
746	28000	39470
747	28039	39434
748	28078	39400
749	28115	39361
750	28154	39326
751	28192	39289
752	28228	39250
753	28265	39211
754	28301	39171
755	28342	39139
756	28380	39102
757	28417	39064
758	28467	39044
759	28506	39008
760	28541	38968
761	28578	38929
762	28613	38889
763	28649	38849
764	28684	38807
765	28724	38774
766	28763	38738
767	28803	38704
768	28840	38666
769	28882	38635
770	28920	38598
771	28960	38563
772	29001	38531
773	29040	38495
774	29079	38460
775	29116	38421
776	29152	38382
777	29189	38344
778	29231	38311
779	29271	38278
780	29310	38242
781	29350	38208
782	29385	38167
783	29424	38132
784	29463	38096
785	29509	38068
786	29547	38033
787	29585	37995
788	29627	37964
789	29665	37927
790	29702	37888
791	29737	37847
792	29774	37809
793	29812	37773
794	29848	37733
795	29884	37694
796	29922	37656
797	29958	37617
798	30000	37584
799	30039	37549
800	30072	37506
801	30105	37463
802	30146	37430
803	30184	37392
804	30222	37355
805	30262	37321
806	30301	37285
807	30342	37251
808	30379	37214
809	30416	37176
810	30458	37143
811	30500	37111
812	30536	37072
813	30574	37035
814	30613	36998
815	30650	36960
816	30686	36921
817	30725	36886
818	30762	36847
819	30801	36812
820	30839	36774
821	30878	36738
822	30915	36700
823	30955	36665
824	30995	36631
825	31033	36594
826	31071	36557
827	31108	36518
828	31144	36479
829	31186	36446
830	31225	36411
831	31265	36376
832	31302	36337
833	31342	36302
834	31382	36268
835	31420	36231
836	31457	36192
837	31500	36161
838	31541	36128
839	31582	36094
840	31626	36063
841	31666	36028
842	31704	35991
843	31738	35950
844	31777	35913
845	31812	35873
846	31849	35835
847	31884	35795
848	31924	35760
849	31960	35720
850	32002	35688
851	32042	35652
852	32077	35611
853	32114	35574
854	32152	35537
855	32188	35497
856	32232	35466
857	32270	35429
858	32314	35399
859	32356	35366
860	32394	35329
861	32440	35300
862	32508	35295
863	32554	35267
864	32613	35252
865	32660	35225
866	32706	35196
867	32757	35173
868	32806	35147
869	32850	35116
870	32890	35080
871	32940	35055
872	32988	35029
873	33033	34998
874	33079	34970
875	33130	34945
876	33175	34915
877	33221	34886
878	33268	34858
879	33312	34826
880	33361	34800
881	33410	34774
882	33460	34748
883	33503	34716
884	33551	34688
885	33602	34664
886	33648	34635
887	33693	34604
888	33736	34571
889	33788	34547
890	33834	34518
891	33878	34486
892	33921	34452
893	33961	34416
894	34015	34395
895	34067	34371
896	34118	34346
897	34170	34322
898	34216	34292
899	34254	34254
900	34298	34222
901	34336	34184
902	34374	34145
903	34416	34111
