level,split,feature_set,engine,family,tweedie_power,config_id,seed,severity_mode,calibration,tail_mapper,fold_id,n_valid,rmse_prime,auc_freq,brier_freq,rmse_sev_pos,q99_ratio_pos,run_id,rmse_gap_secondary,rmse_gap_aux,pred_q99_test,pred_q90_test,pred_q99_oof_primary,q99_test_over_oof_primary,distribution_collapse_flag,tail_dispersion_flag
run,aux_blocked5,base_v2,lightgbm,two_part_tweedie,1.3,lgb_v2_c2,2026,weighted_tail,isotonic,piecewise_monotone_safe,-1,50000,554.7014333908729,0.623222779958435,0.05443824035504667,2122.657351268957,1.2539771011024765,base_v2|lightgbm|two_part_tweedie|1.3|lgb_v2_c2|2026|weighted_tail|isotonic|piecewise_monotone_safe,-4.304898888633147,-1.8323030114080439,416.56421439295474,199.859415860575,494.47027965051666,0.8424454037710323,0,0
run,primary_time,robust_v2,lightgbm,two_part_tweedie,1.3,lgb_v2_c2,2026,weighted_tail,none,piecewise_monotone_safe,-1,40000,556.4034302924046,0.6109413531945489,0.05455013582254635,2440.807597276375,1.4809960603778893,robust_v2|lightgbm|two_part_tweedie|1.3|lgb_v2_c2|2026|weighted_tail|none|piecewise_monotone_safe,-5.209382510337036,-3.615974854857427,405.7003693556176,194.08927684016004,547.6168637323761,0.7408471072101351,0,1
run,primary_time,robust_v2,lightgbm,two_part_tweedie,1.3,lgb_v2_c2,2026,weighted_tail,isotonic,piecewise_monotone_safe,-1,40000,558.0547108792013,0.6062134957822354,0.054525528529712756,2440.807597276375,1.4809960603778893,robust_v2|lightgbm|two_part_tweedie|1.3|lgb_v2_c2|2026|weighted_tail|isotonic|piecewise_monotone_safe,-7.371181589779894,-5.664271927474374,420.25426300623013,206.25854607999517,542.4631622846046,0.7747148419006243,0,0
run,secondary_group,robust_v2,lightgbm,two_part_tweedie,1.3,lgb_v2_c2,2026,weighted_tail,none,piecewise_monotone_safe,-1,50000,551.1940477820675,0.6378728689620109,0.05427672195555756,2056.910738696172,1.1352986857657623,robust_v2|lightgbm|two_part_tweedie|1.3|lgb_v2_c2|2026|weighted_tail|none|piecewise_monotone_safe,-5.209382510337036,-3.615974854857427,432.8858960115832,195.81896063106697,547.6168637323761,0.7904904408187424,0,0
run,secondary_group,robust_v2,lightgbm,two_part_tweedie,1.3,lgb_v2_c2,2026,weighted_tail,isotonic,piecewise_monotone_safe,-1,50000,550.6835292894214,0.6345398392765296,0.05425848227091401,2056.910738696172,1.1352986857657623,robust_v2|lightgbm|two_part_tweedie|1.3|lgb_v2_c2|2026|weighted_tail|isotonic|piecewise_monotone_safe,-7.371181589779894,-5.664271927474374,409.5340524807856,201.09753946707272,542.4631622846046,0.7549527432536011,0,0
run,aux_blocked5,robust_v2,lightgbm,two_part_tweedie,1.3,lgb_v2_c2,2026,weighted_tail,none,piecewise_monotone_safe,-1,50000,552.7874554375471,0.6346410908238539,0.054336399558269716,2049.8363511963976,1.1590413863622924,robust_v2|lightgbm|two_part_tweedie|1.3|lgb_v2_c2|2026|weighted_tail|none|piecewise_monotone_safe,-5.209382510337036,-3.615974854857427,431.4595969887479,196.87290612455888,547.6168637323761,0.787885884390158,0,0
run,aux_blocked5,robust_v2,lightgbm,two_part_tweedie,1.3,lgb_v2_c2,2026,weighted_tail,isotonic,piecewise_monotone_safe,-1,50000,552.3904389517269,0.6322956678281131,0.05429967043974406,2049.8363511963976,1.1590413863622924,robust_v2|lightgbm|two_part_tweedie|1.3|lgb_v2_c2|2026|weighted_tail|isotonic|piecewise_monotone_safe,-7.371181589779894,-5.664271927474374,416.5216396405122,203.61413761837542,542.4631622846046,0.7678339629299715,0,0
run,primary_time,compact_v2,lightgbm,two_part_tweedie,1.3,lgb_v2_c2,2026,weighted_tail,none,piecewise_monotone_safe,-1,40000,555.8154858771618,0.6104363223026765,0.05457091545071078,2450.9947447740637,1.5651779459140192,compact_v2|lightgbm|two_part_tweedie|1.3|lgb_v2_c2|2026|weighted_tail|none|piecewise_monotone_safe,-3.6795903499729548,-3.077591615164124,399.90200592892705,194.46631200083982,531.9697230704737,0.7517382824359522,0,0
run,primary_time,compact_v2,lightgbm,two_part_tweedie,1.3,lgb_v2_c2,2026,weighted_tail,isotonic,piecewise_monotone_safe,-1,40000,556.1477425679764,0.6045772314099243,0.054536464911065306,2450.9947447740637,1.5651779459140192,compact_v2|lightgbm|two_part_tweedie|1.3|lgb_v2_c2|2026|weighted_tail|isotonic|piecewise_monotone_safe,-4.887391566927704,-4.409415788101114,407.99386065238923,202.38904485426048,504.91634477119266,0.8080424903600126,0,0
run,secondary_group,compact_v2,lightgbm,two_part_tweedie,1.3,lgb_v2_c2,2026,weighted_tail,none,piecewise_monotone_safe,-1,50000,552.1358955271888,0.6394751641407649,0.05427985362531674,2113.6597422754194,1.2339708391034063,compact_v2|lightgbm|two_part_tweedie|1.3|lgb_v2_c2|2026|weighted_tail|none|piecewise_monotone_safe,-3.6795903499729548,-3.077591615164124,437.3324935766072,196.33632539797605,531.9697230704737,0.8221003463361969,0,0
