level,split,engine,config_id,seed,severity_mode,calibration,fold_id,rmse_prime,auc_freq,brier_freq,rmse_sev_pos,q99_ratio_pos,n_valid
run,primary_time,catboost,cb_c1,42,classic,none,-1,542.6725580680649,0.6506933307416638,0.05410020790358649,1476.7227186220146,0.30956281415618336,40000.0
run,primary_time,catboost,cb_c1,42,classic,isotonic,-1,542.7673884989829,0.6463887467398812,0.05415541388430945,1476.7227186220146,0.30956281415618336,40000.0
run,primary_time,catboost,cb_c1,42,weighted_tail,none,-1,542.8471598684926,0.6506933307416638,0.05410020790358649,1497.9127764929062,0.4174643521124591,40000.0
run,primary_time,catboost,cb_c1,42,weighted_tail,isotonic,-1,543.1474795993062,0.6463887467398812,0.05415541388430945,1497.9127764929062,0.4174643521124591,40000.0
run,primary_time,lightgbm,lgb_c1,42,classic,none,-1,553.4091816176249,0.5725546089925563,0.057727030757043926,1531.682148266708,0.43862005086365236,40000.0
run,primary_time,lightgbm,lgb_c1,42,classic,isotonic,-1,545.3930745910484,0.559066473001251,0.0550000206474793,1531.682148266708,0.43862005086365236,40000.0
run,primary_time,lightgbm,lgb_c1,42,weighted_tail,none,-1,553.5663034776061,0.5725546089925563,0.057727030757043926,1542.243647242573,0.4420058471936849,40000.0
run,primary_time,lightgbm,lgb_c1,42,weighted_tail,isotonic,-1,545.5629680911627,0.559066473001251,0.0550000206474793,1542.243647242573,0.4420058471936849,40000.0
run,primary_time,xgboost,xgb_c1,42,classic,none,-1,551.0353303048931,0.5934120600719506,0.05704103067604424,1519.8669148337171,0.4051621305719078,40000.0
run,primary_time,xgboost,xgb_c1,42,classic,isotonic,-1,544.7669706576949,0.584789970120726,0.05469508723763106,1519.8669148337171,0.4051621305719078,40000.0
run,primary_time,xgboost,xgb_c1,42,weighted_tail,none,-1,551.2673082951042,0.5934120600719506,0.05704103067604424,1522.7159178449467,0.3875696851773879,40000.0
run,primary_time,xgboost,xgb_c1,42,weighted_tail,isotonic,-1,544.794649588788,0.584789970120726,0.05469508723763106,1522.7159178449467,0.3875696851773879,40000.0
run,secondary_group,catboost,cb_c1,42,classic,none,-1,542.01752044283,0.6558010077550632,0.054028299928490224,1471.5678501329326,0.3320693160793954,50000.0
run,secondary_group,catboost,cb_c1,42,classic,isotonic,-1,542.029123990902,0.6526608409334915,0.05405081482019174,1471.5678501329326,0.3320693160793954,50000.0
run,secondary_group,catboost,cb_c1,42,weighted_tail,none,-1,542.3190022511125,0.6558010077550632,0.054028299928490224,1499.2337941527217,0.43001797855396645,50000.0
run,secondary_group,catboost,cb_c1,42,weighted_tail,isotonic,-1,542.3819407081809,0.6526608409334915,0.05405081482019174,1499.2337941527217,0.43001797855396645,50000.0
run,secondary_group,lightgbm,lgb_c1,42,classic,none,-1,550.4098612301121,0.6066439567392171,0.05671676931972529,1517.5789899399551,0.4076709708816639,50000.0
run,secondary_group,lightgbm,lgb_c1,42,classic,isotonic,-1,544.2859193057092,0.600994355579372,0.0545617467273251,1517.5789899399551,0.4076709708816639,50000.0
run,secondary_group,lightgbm,lgb_c1,42,weighted_tail,none,-1,550.5044038553929,0.6066439567392171,0.05671676931972529,1515.5144735832516,0.4078175661602161,50000.0
run,secondary_group,lightgbm,lgb_c1,42,weighted_tail,isotonic,-1,544.2924395013007,0.600994355579372,0.0545617467273251,1515.5144735832516,0.4078175661602161,50000.0
run,secondary_group,xgboost,xgb_c1,42,classic,none,-1,547.9201433983216,0.6101471794559751,0.05604206248016842,1504.8842849423982,0.3760334178598425,50000.0
run,secondary_group,xgboost,xgb_c1,42,classic,isotonic,-1,543.9054575913184,0.6065641663551127,0.054487219865995265,1504.8842849423982,0.3760334178598425,50000.0
run,secondary_group,xgboost,xgb_c1,42,weighted_tail,none,-1,547.9320152239341,0.6101471794559751,0.05604206248016842,1511.203985159612,0.3853133073048207,50000.0
run,secondary_group,xgboost,xgb_c1,42,weighted_tail,isotonic,-1,543.9023287935818,0.6065641663551127,0.054487219865995265,1511.203985159612,0.3853133073048207,50000.0
